cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
136608966349600092091368249137085445162;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Jul 30, 2018; Une agence avec de très bons profils ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Artefact à temps plein;Bonne ambiance, situation idéale dans Paris, nombre de RTT, locaux très sympas;Le sous-staffing est assez fréquent
142963027416319604414082620731194027367;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Jul 26, 2018; Enrichissant et exigeant ;Ancien employé - Employé anonyme;NULL;Recommande;J'ai travaillé chez Artefact à temps plein;Apprentissage rapide, possibilité de gagner en responsabilité pour les meilleurs potentiels;Charge de travail importante, management peu expérimenté
246237141528779745199009668419217940704;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Apr 26, 2018; Beaucoup de projets ;Ancien employé - Data Scientist;Paris;Ne recommande pas;J'ai travaillé chez Artefact à temps plein moins d'un an;Projets et missions variés, bonne ambiance;Pas trop de ML, mauvais management, sur-staffing
48266692131065907366261008778118957007;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Apr 15, 2018; Super équipe, ambiance comme on l'aime et missions passionnantes ;Employé actuel - manager conseil;Paris;Recommande;Je travaille chez Artefact à temps plein depuis moins d'un an;- Des collègues à l'écoute & sympas - un vrai sentiment d'équipe - Des équipes pros - forts dans leurs domaines d'activité - Un réseau international: besoin d'aide sur le social listening en Asie? Le bureau de Shanghai est là pour vous. Un client au Danemark? Le bureau de Copenhague est à votre disposition. - Missions au coeur de l'actualité digitale: machine learning, intelligence artificielle, big data,... MarTech... - Formations en continue: tout le monde doit progresser - et l'infrastructure y est présente;- Croissance +++ : on est en forte demande dès les premières semaines - l'organisation de son temps est crucial pour la réussite! (mais l'entreprise y est consciente - formation productivité dès l'arrivée...)
102937946066946556415061102779973340695;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;2021-03-21 17:31:13;0;Adsearch;Feb 12, 2019; De la poudre aux yeux ;Ancien employé - Consultant;NULL;Ne recommande pas;J'ai travaillé chez Adsearch à temps plein plus d'un an;En cours de réflexion ...;Un turnover record, les juniors ca ne coûte pas cher mais encore faudrait-il prendre le temps de les former.  Qualité de service: les managers n'aiment pas les dossier de candidatures trop complets, bah oui, ca prend du temps...  Dénigrent les cabinets anglo-saxons pour faire la même chose
76203049643605925683387165208404012777;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;2021-03-21 17:31:13;0;Adsearch;Oct 11, 2018; de belles valeurs ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Adsearch à temps plein;une très belle culture d'entreprise les valeurs familiales se ressentent réellement, autonomie, responsabilités, simplicité, authenticité...et de l'ambition. Un beau projet d'entreprise, du développement sans renier les valeurs;a ce stade rien à signaler
202924676931362924588500627637588363329;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;2021-03-21 17:31:13;0;Adsearch;Jul 30, 2018; Un esprit familial ;;NULL;Ne recommande pas;Je travaille chez Adsearch à ;Entreprise en plein développement en France et à l’international. Il y a beaucoup de perspectives d’évolution et la direction nous laisse beaucoup d’autonomie. Environnement propice à l’épanouissement professionnel.;Pas d’avantages pour les employés
176870364826952914801984714206548827202;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;2021-03-21 17:31:13;0;Adsearch;Jul 11, 2018; Entreprise épanouissante !! ;Employé actuel - Consultante;NULL;Recommande;Je travaille chez Adsearch à temps plein depuis moins d'un an;l'ambiance, la confiance et le dépassement de soi;des procédures à mettre en place , permettant de passer de la startup à une société d'envergure supérieure !!
120941486032954712557724575417351170808;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;2021-03-21 17:31:13;0;Adsearch;May 14, 2018; Une expériences enrichissante !:) ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Adsearch à temps plein;La bonne humeur, l'entraide et la jeunesse d'esprit de tous les adsearchers.;Aucuns inconvénients probants. La marque se développe rapidement alors parfois l'organisation est un peu fouillis mais voilà tout.
18370284056144479832929443346371914142;13745-AVIS-SOC-GLASSDOOR-E3803_P1.html;2021-03-21 17:31:13;0;Capgemini;Dec 12, 2019; Bonne SSII pour commencer ;Employé actuel - Consultant Amoa;Paris;Ne recommande pas;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;Très bonne SSII pour commencer sa carrière, on prend vite des responsabilités. Les opportunités sont très larges (Entreprises, missions, localisations, ..etc);Pas d’avantages pour les employés
