cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;site_web;taille;date_fondation;secteur;revenu;type_entreprise
214803284662005926494512399898408952973;13647-INFO-SOC-GLASSDOOR-E241449_P1.html;2021-03-21 11:49:26;0;Statkraft AS; 50;www.statkraft.com;Entre 201 et 500 employés; Inconnu; Services publics de distribution; Plus de 10 milliards € (EUR) par an; Entreprise non cotée en bourse
233842029748015397808072808283594463508;13692-INFO-SOC-GLASSDOOR-E929611_P1.html;2021-03-21 11:49:26;0;Teads; 102;www.teads.com;De 501 à 1 000 employés; 2011; Publicité et marketing; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
204573686041553006953145432242739792066;13585-INFO-SOC-GLASSDOOR-E13058_P1.html;2021-03-21 11:49:27;0;Cegedim; 234;www.cegedim.com;De 1 001 à 5 000 employés; 1969; Matériel et logiciels informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (CGM) 
303019042776575730583668560814975836019;13796-INFO-SOC-GLASSDOOR-E3054_P1.html;2021-03-21 11:49:27;0;Accor; 1,3k;www.group.accor.com;Plus de 10 000 employés; 1967; Hôtels, motels et stations de tourisme; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (ACCOR SA) 
244735162171660577433004824393425909600;13622-INFO-SOC-GLASSDOOR-E847875_P1.html;2021-03-21 11:49:27;0;Morgan Philips Executive Search; 34;www.morganphilipsexecutivesearch.com;Entre 201 et 500 employés; 2013; Recrutement et sous-traitance; Ne sait pas / non applicable; Filiale ou unité d'exploitation
229860077983114203873675771797917048601;13596-INFO-SOC-GLASSDOOR-E111193_P1.html;2021-03-21 11:49:27;0;Lacoste; 451;www.lacoste.com;De 5 001 à 10 000 employés; 1933; Magasins de chaussures, de vêtements et grands magasins; Entre 1 et 2 milliards € (EUR) par an; Entreprise non cotée en bourse
11800125389944205449520967577471749942;13677-INFO-SOC-GLASSDOOR-E1063459_P1.html;2021-03-21 11:49:27;0;CALIDA Group; 2;www.calidagroup.com;Inconnu; 1941; Inconnu; Ne sait pas / non applicable par an; Inconnu
269659634292753120245750525077240904613;13699-INFO-SOC-GLASSDOOR-E3489_P1.html;2021-03-21 11:49:27;0;LVMH; 556;www.lvmh.fr;Plus de 10 000 employés; 1987; Autres magasins de détail; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (MC) 
327862501533128965690523197221501116521;13724-INFO-SOC-GLASSDOOR-E1126011_P1.html;2021-03-21 11:49:27;0;alptis assurances; 2;www.alptis.org;Entre 201 et 500 employés; 1976; Inconnu; Entre 100 et 500 millions € (EUR) par an; Inconnu
89655230980599500950883348270532580975;13778-INFO-SOC-GLASSDOOR-E9028_P1.html;2021-03-21 11:49:27;0;Gfi Informatique; 463;www.gfi.world;Plus de 10 000 employés; 1995; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse
